id,city,country,ipaddress,latitude,longitude
66ed8547-1da3-4702-afd0-bc45f21057ce,Mogocha,Russia,d4a1:ab01:9305:959d:3840:a20a:b249:3227,53.7417003,119.7575154
97e1f0ec-44b2-4d3d-b705-04c768cd516b,Remedios,Colombia,31e8:521b:59a9:9650:85f7:fc8d:1f23:7d85,7.027766,-74.692965
a731ca39-9692-4a1e-8215-c0a30209076b,Mikró Monastíri,Greece,9585:f857:57ec:c511:f71e:df63:fdc1:1611,40.7069884,22.5450139
1b0f4afe-fdc5-4241-8046-2acb35d7ae80,Shisandaogou,China,1459:22e6:6587:6c70:5161:8d3d:f055:aed7,41.378328,126.2947741
73f17165-d1b3-4063-bc9c-398c91c294ae,Kumba,Cameroon,2e14:ab6:4b04:1ee9:5e97:b484:9e39:9aab,4.6333268,9.4450439
ab6e4f70-408b-431a-ae1b-8d7e7b4c476f,Chantal,Haiti,872d:c739:f1e8:20e0:7e2d:e919:ed2:2d8,18.2028605,-73.8874799
ac944a60-0f7f-42b2-9e98-54d4b48fa187,Itaberaba,Brazil,29f8:c640:2df2:f49b:b31:4949:634c:4a1b,-12.5477492,-40.2271243
7c8acf98-06b1-4938-97a5-46f12bb994bb,Orzech,Poland,1955:5fb7:3bae:f50f:903e:2765:6635:b8fc,50.0558922,21.6020199
396174da-b0c0-4de2-b1c1-c86da294fd66,Aya,Russia,2d3d:eac6:c785:90b2:8dce:e7f7:e5e6:c56e,51.954075,85.800614
b3e3c8c0-9c29-4bf7-9893-ae873d8ae8a0,Villaba,Philippines,9c0:3c94:b09e:58d3:2379:ca:593c:91ef,11.1649599,124.3922901
50ce3380-2198-42ca-83cb-b75987f9801c,Zhuli,China,7f2:d9bc:72ac:e6f2:c24b:97df:b3f2:6892,28.844818,113.497275
6f2bd9d0-9171-4587-8200-5e5eb8828cd7,Qionghai,China,d227:8c26:1dd1:9725:8655:57b8:eae0:e7c6,19.258341,110.474648
82feeae5-2397-43ac-944d-a125272982aa,Gori,Georgia,aa83:3f88:5e58:3995:fc22:db0e:4274:e0eb,41.9854144,44.108411
f286c8e9-18fc-4b41-ab02-785ee0ac1dc6,Gombong,Indonesia,8470:1930:9aa8:f492:fa69:3057:c18f:8782,-7.6052823,109.5151561
43f2b606-82b0-4eb2-8dee-b979d5b06fd0,Tamra,Israel,67cf:dcbd:dbe1:4519:d67a:f4ad:f2d1:ae85,32.852247,35.201315
e1fe007c-2c24-41f0-8585-66ef55dc5f71,Przodkowo,Poland,5f08:ca9b:9e2c:9f96:fff5:e315:232:7766,54.3817334,18.2912258
bce4a9c0-ace1-440b-950d-de6c9dd05adf,Krajan Kidul Rojopolo,Indonesia,98e4:eca9:1f46:3f0f:4b7:b51a:2968:f376,-8.1356,113.3257
bf67f929-d56d-4f60-bf74-dc1a117edfd1,Englewood,United States,4913:5f48:421:22f0:a7b8:b7e6:2422:8bb1,39.6476577,-104.9984484
cdbbf602-f648-4694-a4ea-445730c19cfc,Jīt,Palestinian Territory,cb14:49c6:7776:4da2:21b9:4bc5:10dd:eeda,32.213184,35.170689
5f11fe74-9f3f-4721-9143-b1eb240bb4fd,Thap Khlo,Thailand,e6c4:448e:a27:747c:9c4d:2ba2:293:5634,16.158922,100.603798
7b789cf3-565a-4f7f-ba2b-1b4c7b016df8,Malianchuan,China,bbbf:d48:d10a:e2f7:9a0e:b3d0:617:46af,39.035613,115.213446
0ec68a9a-901c-4938-885b-980c496cfb7c,Ad Dujayl,Iraq,afcf:6547:8f84:7192:85ab:78d0:3e31:a62a,33.85,44.233333
efe50f42-1936-4b5c-8236-7fe3b6f904c8,Крива Паланка,Macedonia,d11a:e538:3e04:f9d0:b0:67b8:b619:7dcc,40.9933396,21.4188894
fc5954e2-c68c-4a6d-9ab9-2f25ea07f5ca,Udachny,Russia,3ad7:5f76:bfb9:7080:3c34:8dd1:e27:9927,66.407021,112.2977807
c7bbe511-a842-476a-9e57-39f235d3ae6d,Sāh,Yemen,d0a6:66e0:5073:2d8b:cd4d:ed3a:a631:30f6,15.479529,44.2166214
4dd22bb4-89bc-4094-ac6c-0d03f2578784,Arras,France,4670:d973:696f:bfde:bac3:533d:2993:8f6e,50.2837307,2.7425682
e497706d-fc86-4a44-9b13-a69f41bdce26,Konongo,Ghana,a4b4:de3d:8011:43a5:e57d:aa58:de32:4561,6.6249454,-1.2073261
cf709b15-8857-4bbd-be82-a85622983e08,Biscoitos,Portugal,9fbe:5a6c:91eb:a31c:41b2:840e:3390:e930,38.6152027,-28.0339781
d010f375-a602-4b27-8584-2b8c1fa6479b,Jabinyānah,Tunisia,f9a0:e0bf:706e:bdef:2b96:f5a:62e4:db17,35.035,10.90809
43e4c680-4b84-422d-b7ed-6279c816272a,Luyi,China,373:514d:da6:c06e:f255:27b3:fa92:2921,33.86,115.484454
